
DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,CURRENCY:Currency,COLLECTION:Collection,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-03,F:Free,,A:Normal value,1.0041
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-04,F:Free,,A:Normal value,1.0052
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-05,F:Free,,A:Normal value,1.005
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-06,F:Free,,A:Normal value,1.005
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-07,F:Free,,A:Normal value,1.0068
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-10,F:Free,,A:Normal value,1.0093
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-11,F:Free,,A:Normal value,1.0085
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-12,F:Free,,A:Normal value,1.0076
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-13,F:Free,,A:Normal value,1.0071
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-14,F:Free,,A:Normal value,1.0061
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-17,F:Free,,A:Normal value,1.0045
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-18,F:Free,,A:Normal value,1.0065
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-19,F:Free,,A:Normal value,1.0061
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-20,F:Free,,A:Normal value,1.0065
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-21,F:Free,,A:Normal value,1.0063
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-24,F:Free,,A:Normal value,1.0056
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-25,F:Free,,A:Normal value,1.0046
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-26,F:Free,,A:Normal value,1.0046
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-27,F:Free,,A:Normal value,1.0045
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-28,F:Free,,A:Normal value,1.0046
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-01-31,F:Free,,A:Normal value,1.0056
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-01,F:Free,,A:Normal value,1.0063
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-02,F:Free,,A:Normal value,1.0058
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-03,F:Free,,A:Normal value,1.0057
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-04,F:Free,,A:Normal value,1.0058
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-07,F:Free,,A:Normal value,1.006
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-08,F:Free,,A:Normal value,1.0065
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-09,F:Free,,A:Normal value,1.0058
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-10,F:Free,,A:Normal value,1.0057
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-11,F:Free,,A:Normal value,1.0057
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-14,F:Free,,A:Normal value,1.0057
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-15,F:Free,,A:Normal value,1.005
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-16,F:Free,,A:Normal value,1.0047
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-17,F:Free,,A:Normal value,1.0045
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-18,F:Free,,A:Normal value,1.004
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-21,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-22,F:Free,,A:Normal value,1.0034
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-23,F:Free,,A:Normal value,1.0047
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-24,F:Free,,A:Normal value,1.0025
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-25,F:Free,,A:Normal value,1.0025
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-28,F:Free,,A:Normal value,1.0028
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-02-29,F:Free,,A:Normal value,1.0012
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-01,F:Free,,A:Normal value,1.001
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-02,F:Free,,A:Normal value,1.0006
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-03,F:Free,,A:Normal value,1.0004
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-06,F:Free,,A:Normal value,0.9974
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-07,F:Free,,A:Normal value,0.9971
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-08,F:Free,,A:Normal value,0.9969
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-09,F:Free,,A:Normal value,0.9962
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-10,F:Free,,A:Normal value,0.9971
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-13,F:Free,,A:Normal value,0.9989
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-14,F:Free,,A:Normal value,1.0003
"BIS,WS_XRU,1.0",D.CA.CAD.A,D:Daily,CA:Canada,CAD:Canadian dollar,A:Average of observations through period,Canadian dollar,Units,1972-03-15,F:Free,,A:Normal value,1.0011
