
DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,CURRENCY:Currency,COLLECTION:Collection,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-01,F:Free,,A:Normal value,357.904947
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-02,F:Free,,A:Normal value,357.55814
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-03,F:Free,,A:Normal value,357.544881
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-04,F:Free,,A:Normal value,357.637336
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-05,F:Free,,A:Normal value,357.495127
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-06,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-07,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-08,F:Free,,A:Normal value,357.504873
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-09,F:Free,,A:Normal value,357.560739
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-10,F:Free,,A:Normal value,357.639631
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-11,F:Free,,A:Normal value,357.707625
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-12,F:Free,,A:Normal value,357.76699
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-13,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-14,F:Free,,M:Missing value; data cannot exist,
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-15,F:Free,,A:Normal value,357.572816
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-16,F:Free,,A:Normal value,357.731459
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-17,F:Free,,A:Normal value,357.702375
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-18,F:Free,,A:Normal value,357.384988
"BIS,WS_XRU,1.0",D.JP.JPY.A,D:Daily,JP:Japan,JPY:Yen,A:Average of observations through period,Yen,Units,1969-12-19,F:Free,,A:Normal value,357.365617
